"TRACT","DATE","START","END","AVAIL"
1.02,"2019-05-05",NA,NA,0
1.02,"2019-05-27",NA,NA,0
1.02,"2019-05-28",NA,NA,0
1.02,"2019-05-29","20:56:52","22:00:00",3788
1.02,"2019-05-30",NA,NA,0
1.02,"2019-05-31","11:05:14","16:51:22",20768
1.02,"2019-05-31","20:31:51","22:00:00",5289
1.02,"2019-06-01","06:00:00","22:00:00",57600
1.02,"2019-06-02",NA,NA,0
1.02,"2019-06-03",NA,NA,0
1.02,"2019-06-04",NA,NA,0
1.02,"2019-06-05",NA,NA,0
1.02,"2019-06-06",NA,NA,0
1.02,"2019-06-07",NA,NA,0
1.02,"2019-06-08",NA,NA,0
1.02,"2019-06-26","14:28:20","16:16:43",6503
1.02,"2019-06-26","18:51:04","22:00:00",11336
1.02,"2019-06-27",NA,NA,0
1.02,"2019-06-28","12:22:08","18:59:56",23868
1.02,"2019-06-29","13:36:42","22:00:00",30198
1.02,"2019-06-30","21:55:08","22:00:00",292
1.02,"2019-07-01","06:00:00","14:40:24",31224
1.02,"2019-07-02",NA,NA,0
1.02,"2019-07-03",NA,NA,0
1.02,"2019-07-04",NA,NA,0
1.02,"2019-07-27","10:10:38","20:15:16",36278
1.02,"2019-07-28","21:39:27","22:00:00",1233
1.02,"2019-07-29","06:00:00","22:00:00",57600
1.02,"2019-07-30","06:00:00","14:26:57",30417
1.02,"2019-07-30","14:38:45","16:20:30",6105
1.02,"2019-07-31","17:53:04","22:00:00",14816
1.02,"2019-08-01",NA,NA,0
1.02,"2019-08-02",NA,NA,0
1.02,"2019-08-03",NA,NA,0
1.02,"2019-08-04",NA,NA,0
1.02,"2019-08-05",NA,NA,0
1.02,"2019-08-27","19:30:26","19:43:29",783
1.02,"2019-08-28",NA,NA,0
1.02,"2019-08-29","13:14:29","13:38:30",1441
1.02,"2019-08-29","14:52:29","17:18:29",8760
1.02,"2019-08-29","18:35:39","22:00:00",12261
1.02,"2019-08-30","06:00:00","08:45:11",9911
1.02,"2019-08-30","15:44:54","16:19:24",2070
1.02,"2019-08-30","16:32:01","22:00:00",19679
1.02,"2019-08-31","10:21:32","10:24:21",169
1.02,"2019-09-01",NA,NA,0
1.02,"2019-09-02",NA,NA,0
1.02,"2019-09-03",NA,NA,0
1.02,"2019-09-04",NA,NA,0
1.02,"2019-09-05",NA,NA,0
1.02,"2019-09-06",NA,NA,0
1.02,"2019-09-07",NA,NA,0
1.02,"2019-09-08",NA,NA,0
1.02,"2019-09-27",NA,NA,0
1.02,"2019-09-28",NA,NA,0
1.02,"2019-09-29",NA,NA,0
1.02,"2019-09-30",NA,NA,0
1.02,"2019-10-01",NA,NA,0
1.02,"2019-10-02",NA,NA,0
1.02,"2019-10-03",NA,NA,0
1.02,"2019-10-04",NA,NA,0
1.02,"2019-10-05",NA,NA,0
1.02,"2019-10-28",NA,NA,0
1.02,"2019-10-29",NA,NA,0
1.02,"2019-10-30",NA,NA,0
1.02,"2019-10-31",NA,NA,0
1.02,"2019-11-01",NA,NA,0
1.02,"2019-11-02",NA,NA,0
1.02,"2019-11-03",NA,NA,0
1.02,"2019-11-04",NA,NA,0
1.02,"2019-11-05",NA,NA,0
2,"2019-01-01",NA,NA,0
2,"2019-01-27",NA,NA,0
2,"2019-01-28",NA,NA,0
2,"2019-01-29",NA,NA,0
2,"2019-01-30",NA,NA,0
2,"2019-01-31",NA,NA,0
2,"2019-02-01",NA,NA,0
2,"2019-02-02",NA,NA,0
2,"2019-02-03",NA,NA,0
2,"2019-02-26",NA,NA,0
2,"2019-02-27",NA,NA,0
2,"2019-02-28",NA,NA,0
2,"2019-03-01",NA,NA,0
2,"2019-03-02",NA,NA,0
2,"2019-03-03",NA,NA,0
2,"2019-03-27",NA,NA,0
2,"2019-03-28",NA,NA,0
2,"2019-03-29",NA,NA,0
2,"2019-03-30",NA,NA,0
2,"2019-03-31",NA,NA,0
2,"2019-04-01",NA,NA,0
2,"2019-04-02",NA,NA,0
2,"2019-04-26",NA,NA,0
2,"2019-04-27",NA,NA,0
2,"2019-04-28",NA,NA,0
2,"2019-04-29","18:54:55","21:48:02",10387
2,"2019-04-30","18:07:11","21:34:05",12414
2,"2019-05-01",NA,NA,0
2,"2019-05-02",NA,NA,0
2,"2019-05-03",NA,NA,0
2,"2019-05-04",NA,NA,0
2,"2019-05-05",NA,NA,0
2,"2019-05-27",NA,NA,0
2,"2019-05-28","17:26:30","20:09:53",9803
2,"2019-05-29","19:55:11","20:38:21",2590
2,"2019-05-29","20:54:25","22:00:00",3935
2,"2019-05-30",NA,NA,0
2,"2019-05-31","19:02:08","19:50:07",2879
2,"2019-05-31","20:02:33","22:00:00",7047
2,"2019-06-01",NA,NA,0
2,"2019-06-02",NA,NA,0
2,"2019-06-03",NA,NA,0
2,"2019-06-04",NA,NA,0
2,"2019-06-05",NA,NA,0
2,"2019-06-06",NA,NA,0
2,"2019-06-07",NA,NA,0
2,"2019-06-08",NA,NA,0
2,"2019-06-26",NA,NA,0
2,"2019-06-27",NA,NA,0
2,"2019-06-28",NA,NA,0
2,"2019-06-29",NA,NA,0
2,"2019-06-30",NA,NA,0
2,"2019-07-01",NA,NA,0
2,"2019-07-02",NA,NA,0
2,"2019-07-03",NA,NA,0
2,"2019-07-04",NA,NA,0
2,"2019-07-27",NA,NA,0
2,"2019-07-28","06:00:00","22:00:00",57600
2,"2019-07-29",NA,NA,0
2,"2019-07-30",NA,NA,0
2,"2019-07-31",NA,NA,0
2,"2019-08-01",NA,NA,0
2,"2019-08-02",NA,NA,0
2,"2019-08-03",NA,NA,0
2,"2019-08-04",NA,NA,0
2,"2019-08-05",NA,NA,0
2,"2019-08-27","18:19:42","18:29:45",603
2,"2019-08-28",NA,NA,0
2,"2019-08-29","16:46:53","22:00:00",18787
2,"2019-08-30","06:00:00","22:00:00",57600
2,"2019-08-31","12:20:37","22:00:00",34763
2,"2019-09-01","06:00:00","10:52:00",17520
2,"2019-09-02",NA,NA,0
2,"2019-09-03",NA,NA,0
2,"2019-09-04",NA,NA,0
2,"2019-09-05",NA,NA,0
2,"2019-09-06",NA,NA,0
2,"2019-09-07",NA,NA,0
2,"2019-09-08",NA,NA,0
2,"2019-09-27",NA,NA,0
2,"2019-09-28",NA,NA,0
2,"2019-09-29",NA,NA,0
2,"2019-09-30",NA,NA,0
2,"2019-10-01",NA,NA,0
2,"2019-10-02",NA,NA,0
2,"2019-10-03",NA,NA,0
2,"2019-10-04",NA,NA,0
2,"2019-10-05",NA,NA,0
2,"2019-10-28",NA,NA,0
2,"2019-10-29",NA,NA,0
2,"2019-10-30",NA,NA,0
2,"2019-10-31",NA,NA,0
2,"2019-11-01",NA,NA,0
2,"2019-11-02",NA,NA,0
2,"2019-11-03",NA,NA,0
2,"2019-11-04",NA,NA,0
2,"2019-11-05",NA,NA,0
3,"2019-01-01",NA,NA,0
3,"2019-01-27","14:26:58","17:33:01",11163
3,"2019-01-28","17:07:55","22:00:00",17525
3,"2019-01-29","17:16:37","22:00:00",17003
3,"2019-01-30",NA,NA,0
3,"2019-01-31",NA,NA,0
3,"2019-02-01",NA,NA,0
3,"2019-02-02",NA,NA,0
3,"2019-02-03",NA,NA,0
3,"2019-02-26",NA,NA,0
3,"2019-02-27",NA,NA,0
3,"2019-02-28",NA,NA,0
3,"2019-03-01",NA,NA,0
3,"2019-03-02",NA,NA,0
3,"2019-03-03",NA,NA,0
3,"2019-03-27",NA,NA,0
3,"2019-03-28",NA,NA,0
3,"2019-03-29",NA,NA,0
3,"2019-03-30",NA,NA,0
3,"2019-03-31",NA,NA,0
3,"2019-04-01",NA,NA,0
3,"2019-04-02",NA,NA,0
3,"2019-04-26","11:22:58","22:00:00",38222
3,"2019-04-27","11:13:26","22:00:00",38794
3,"2019-04-28","13:36:34","22:00:00",30206
3,"2019-04-29","21:21:39","22:00:00",2301
3,"2019-04-30","14:01:02","22:00:00",28738
3,"2019-05-01",NA,NA,0
3,"2019-05-02",NA,NA,0
3,"2019-05-03",NA,NA,0
3,"2019-05-04",NA,NA,0
3,"2019-05-05",NA,NA,0
3,"2019-05-27","09:44:01","11:01:19",4638
3,"2019-05-27","19:13:05","22:00:00",10015
3,"2019-05-28","19:21:16","20:01:37",2421
3,"2019-05-28","20:03:34","20:15:26",712
3,"2019-05-29","18:21:56","20:23:10",7274
3,"2019-05-29","20:40:48","22:00:00",4752
3,"2019-05-30","13:12:29","17:41:06",16117
3,"2019-05-30","19:51:36","20:08:46",1030
3,"2019-05-30","20:15:35","21:04:05",2910
3,"2019-05-31","19:17:27","19:19:18",111
3,"2019-05-31","19:38:37","19:46:02",445
3,"2019-06-01","06:00:00","22:00:00",57600
3,"2019-06-02","06:00:00","22:00:00",57600
3,"2019-06-03","06:00:00","22:00:00",57600
3,"2019-06-04","06:00:00","22:00:00",57600
3,"2019-06-05","06:00:00","22:00:00",57600
3,"2019-06-06","06:00:00","22:00:00",57600
3,"2019-06-07","06:00:00","22:00:00",57600
3,"2019-06-08","06:00:00","17:39:25",41965
3,"2019-06-26","17:43:35","18:37:26",3231
3,"2019-06-26","19:06:45","20:11:07",3862
3,"2019-06-26","20:12:57","22:00:00",6423
3,"2019-06-27","20:27:32","22:00:00",5548
3,"2019-06-28","15:06:37","15:43:44",2227
3,"2019-06-28","15:45:41","16:47:23",3702
3,"2019-06-28","18:41:55","22:00:00",11885
3,"2019-06-29","06:00:00","11:36:29",20189
3,"2019-06-29","11:37:28","14:44:26",11218
3,"2019-06-29","16:13:05","22:00:00",20815
3,"2019-06-30","11:03:40","20:45:25",34905
3,"2019-07-01",NA,NA,0
3,"2019-07-02",NA,NA,0
3,"2019-07-03",NA,NA,0
3,"2019-07-04",NA,NA,0
3,"2019-07-27","10:53:21","22:00:00",39999
3,"2019-07-28","06:00:00","20:50:25",53425
3,"2019-07-29","21:12:35","22:00:00",2845
3,"2019-07-30","19:23:37","22:00:00",9383
3,"2019-07-31","06:00:00","22:00:00",57600
3,"2019-08-01","06:00:00","22:00:00",57600
3,"2019-08-02","06:00:00","22:00:00",57600
3,"2019-08-03","06:00:00","22:00:00",57600
3,"2019-08-04","06:00:00","22:00:00",57600
3,"2019-08-05",NA,NA,0
3,"2019-08-27","09:19:28","09:51:35",1927
3,"2019-08-27","20:45:57","21:15:57",1800
3,"2019-08-28","08:07:42","08:37:42",1800
3,"2019-08-28","19:02:21","19:32:21",1800
3,"2019-08-29","19:33:25","19:36:50",205
3,"2019-08-29","19:39:46","20:32:22",3156
3,"2019-08-29","21:02:22","22:00:00",3458
3,"2019-08-30","19:19:25","19:20:45",80
3,"2019-08-30","20:16:28","20:47:29",1861
3,"2019-08-30","20:53:00","21:49:28",3388
3,"2019-08-30","21:49:28","22:00:00",632
3,"2019-08-31","12:16:53","22:00:00",34987
3,"2019-09-01","06:00:00","22:00:00",57600
3,"2019-09-02","06:00:00","15:49:29",35369
3,"2019-09-03",NA,NA,0
3,"2019-09-04",NA,NA,0
3,"2019-09-05",NA,NA,0
3,"2019-09-06",NA,NA,0
3,"2019-09-07",NA,NA,0
3,"2019-09-08",NA,NA,0
3,"2019-09-27",NA,NA,0
3,"2019-09-28",NA,NA,0
3,"2019-09-29",NA,NA,0
3,"2019-09-30",NA,NA,0
3,"2019-10-01",NA,NA,0
3,"2019-10-02",NA,NA,0
3,"2019-10-03",NA,NA,0
3,"2019-10-04",NA,NA,0
3,"2019-10-05",NA,NA,0
3,"2019-10-28",NA,NA,0
3,"2019-10-29",NA,NA,0
3,"2019-10-30",NA,NA,0
3,"2019-10-31","20:10:08","22:00:00",6592
3,"2019-11-01","06:00:00","22:00:00",57600
3,"2019-11-02","06:00:00","22:00:00",57600
3,"2019-11-03","06:00:00","22:00:00",57600
3,"2019-11-04","06:00:00","12:32:08",23528
3,"2019-11-05",NA,NA,0
4,"2019-01-01",NA,NA,0
4,"2019-01-27",NA,NA,0
4,"2019-01-28",NA,NA,0
4,"2019-01-29","11:48:06","22:00:00",36714
4,"2019-01-30",NA,NA,0
4,"2019-01-31",NA,NA,0
4,"2019-02-01",NA,NA,0
4,"2019-02-02",NA,NA,0
4,"2019-02-03",NA,NA,0
4,"2019-02-26",NA,NA,0
4,"2019-02-27",NA,NA,0
4,"2019-02-28",NA,NA,0
4,"2019-03-01",NA,NA,0
4,"2019-03-02",NA,NA,0
4,"2019-03-03",NA,NA,0
4,"2019-03-27",NA,NA,0
4,"2019-03-28",NA,NA,0
4,"2019-03-29",NA,NA,0
4,"2019-03-30",NA,NA,0
4,"2019-03-31",NA,NA,0
4,"2019-04-01",NA,NA,0
4,"2019-04-02",NA,NA,0
4,"2019-04-26",NA,NA,0
4,"2019-04-27","18:55:17","22:00:00",11083
4,"2019-04-28","13:38:32","20:47:47",25755
4,"2019-04-29","10:42:03","22:00:00",40677
4,"2019-04-30","14:04:49","21:06:01",25272
4,"2019-05-01",NA,NA,0
4,"2019-05-02",NA,NA,0
4,"2019-05-03",NA,NA,0
4,"2019-05-04",NA,NA,0
4,"2019-05-05",NA,NA,0
4,"2019-05-27",NA,NA,0
4,"2019-05-28",NA,NA,0
4,"2019-05-29",NA,NA,0
4,"2019-05-30",NA,NA,0
4,"2019-05-31","18:52:33","19:25:04",1951
4,"2019-05-31","19:35:36","22:00:00",8664
4,"2019-06-01",NA,NA,0
4,"2019-06-02",NA,NA,0
4,"2019-06-03",NA,NA,0
4,"2019-06-04",NA,NA,0
4,"2019-06-05",NA,NA,0
4,"2019-06-06",NA,NA,0
4,"2019-06-07",NA,NA,0
4,"2019-06-08",NA,NA,0
4,"2019-06-26",NA,NA,0
4,"2019-06-27","21:58:12","22:00:00",108
4,"2019-06-28","19:31:03","22:00:00",8937
4,"2019-06-29","06:00:00","22:00:00",57600
4,"2019-06-30",NA,NA,0
4,"2019-07-01",NA,NA,0
4,"2019-07-02",NA,NA,0
4,"2019-07-03",NA,NA,0
4,"2019-07-04",NA,NA,0
4,"2019-07-27","10:51:33","22:00:00",40107
4,"2019-07-28","06:00:00","21:55:36",57336
4,"2019-07-29",NA,NA,0
4,"2019-07-30",NA,NA,0
4,"2019-07-31","11:12:33","22:00:00",38847
4,"2019-08-01","06:00:00","14:02:40",28960
4,"2019-08-02",NA,NA,0
4,"2019-08-03",NA,NA,0
4,"2019-08-04",NA,NA,0
4,"2019-08-05",NA,NA,0
4,"2019-08-27","20:15:50","22:00:00",6250
4,"2019-08-28",NA,NA,0
4,"2019-08-29","12:54:46","17:41:59",17233
4,"2019-08-29","17:56:39","22:00:00",14601
4,"2019-08-30","16:33:38","16:42:12",514
4,"2019-08-30","19:23:40","22:00:00",9380
4,"2019-08-31","20:43:54","22:00:00",4566
4,"2019-09-01","06:00:00","14:15:30",29730
4,"2019-09-02",NA,NA,0
4,"2019-09-03",NA,NA,0
4,"2019-09-04",NA,NA,0
4,"2019-09-05",NA,NA,0
4,"2019-09-06",NA,NA,0
4,"2019-09-07",NA,NA,0
4,"2019-09-08",NA,NA,0
4,"2019-09-27",NA,NA,0
4,"2019-09-28",NA,NA,0
4,"2019-09-29",NA,NA,0
4,"2019-09-30",NA,NA,0
4,"2019-10-01",NA,NA,0
4,"2019-10-02",NA,NA,0
4,"2019-10-03",NA,NA,0
4,"2019-10-04",NA,NA,0
4,"2019-10-05",NA,NA,0
4,"2019-10-28",NA,NA,0
4,"2019-10-29",NA,NA,0
4,"2019-10-30",NA,NA,0
4,"2019-10-31",NA,NA,0
4,"2019-11-01",NA,NA,0
4,"2019-11-02",NA,NA,0
4,"2019-11-03",NA,NA,0
4,"2019-11-04",NA,NA,0
4,"2019-11-05",NA,NA,0
5,"2019-01-01",NA,NA,0
5,"2019-01-27","14:23:46","16:28:20",7474
5,"2019-01-28",NA,NA,0
5,"2019-01-29","11:52:55","22:00:00",36425
5,"2019-01-30",NA,NA,0
5,"2019-01-31",NA,NA,0
5,"2019-02-01",NA,NA,0
5,"2019-02-02",NA,NA,0
5,"2019-02-03",NA,NA,0
5,"2019-02-26",NA,NA,0
5,"2019-02-27",NA,NA,0
5,"2019-02-28",NA,NA,0
5,"2019-03-01",NA,NA,0
5,"2019-03-02",NA,NA,0
5,"2019-03-03",NA,NA,0
5,"2019-03-27",NA,NA,0
5,"2019-03-28",NA,NA,0
5,"2019-03-29",NA,NA,0
5,"2019-03-30",NA,NA,0
5,"2019-03-31",NA,NA,0
5,"2019-04-01",NA,NA,0
5,"2019-04-02",NA,NA,0
5,"2019-04-26",NA,NA,0
5,"2019-04-27","13:09:57","22:00:00",31803
5,"2019-04-28","06:00:00","22:00:00",57600
5,"2019-04-29","21:09:23","22:00:00",3037
5,"2019-04-30","20:04:34","22:00:00",6926
5,"2019-05-01",NA,NA,0
5,"2019-05-02",NA,NA,0
5,"2019-05-03",NA,NA,0
5,"2019-05-04",NA,NA,0
5,"2019-05-05",NA,NA,0
5,"2019-05-27","20:04:10","20:05:58",108
5,"2019-05-28",NA,NA,0
5,"2019-05-29",NA,NA,0
5,"2019-05-30","16:31:53","22:00:00",19687
5,"2019-05-31","06:00:00","22:00:00",57600
5,"2019-06-01",NA,NA,0
5,"2019-06-02",NA,NA,0
5,"2019-06-03",NA,NA,0
5,"2019-06-04",NA,NA,0
5,"2019-06-05",NA,NA,0
5,"2019-06-06",NA,NA,0
5,"2019-06-07",NA,NA,0
5,"2019-06-08",NA,NA,0
5,"2019-06-26",NA,NA,0
5,"2019-06-27","14:30:40","20:17:59",20839
5,"2019-06-28","19:35:42","22:00:00",8658
5,"2019-06-29",NA,NA,0
5,"2019-06-30","06:00:00","12:14:36",22476
5,"2019-07-01",NA,NA,0
5,"2019-07-02",NA,NA,0
5,"2019-07-03",NA,NA,0
5,"2019-07-04",NA,NA,0
5,"2019-07-27","18:02:00","18:07:27",327
5,"2019-07-27","18:07:47","18:09:30",103
5,"2019-07-27","18:10:32","21:21:51",11479
5,"2019-07-28",NA,NA,0
5,"2019-07-29","18:58:42","22:00:00",10878
5,"2019-07-30","06:00:00","11:52:03",21123
5,"2019-07-31",NA,NA,0
5,"2019-08-01",NA,NA,0
5,"2019-08-02",NA,NA,0
5,"2019-08-03",NA,NA,0
5,"2019-08-04",NA,NA,0
5,"2019-08-05",NA,NA,0
5,"2019-08-27","17:43:29","18:12:49",1760
5,"2019-08-28","16:43:19","22:00:00",19001
5,"2019-08-29","12:50:43","22:00:00",32957
5,"2019-08-30","20:38:46","22:00:00",4874
5,"2019-08-31","19:02:10","19:33:22",1872
5,"2019-08-31","20:44:49","22:00:00",4511
5,"2019-09-01","06:00:00","10:56:56",17816
5,"2019-09-02",NA,NA,0
5,"2019-09-03",NA,NA,0
5,"2019-09-04",NA,NA,0
5,"2019-09-05",NA,NA,0
5,"2019-09-06",NA,NA,0
5,"2019-09-07",NA,NA,0
5,"2019-09-08",NA,NA,0
5,"2019-09-27",NA,NA,0
5,"2019-09-28",NA,NA,0
5,"2019-09-29",NA,NA,0
5,"2019-09-30",NA,NA,0
5,"2019-10-01",NA,NA,0
5,"2019-10-02",NA,NA,0
5,"2019-10-03",NA,NA,0
5,"2019-10-04",NA,NA,0
5,"2019-10-05",NA,NA,0
5,"2019-10-28","20:53:56","22:00:00",3964
5,"2019-10-29","06:00:00","16:45:30",38730
5,"2019-10-29","19:10:09","22:00:00",10191
5,"2019-10-30",NA,NA,0
5,"2019-10-31",NA,NA,0
5,"2019-11-01",NA,NA,0
5,"2019-11-02",NA,NA,0
5,"2019-11-03",NA,NA,0
5,"2019-11-04",NA,NA,0
5,"2019-11-05",NA,NA,0
6,"2019-01-01",NA,NA,0
6,"2019-01-27","20:30:29","22:00:00",5371
6,"2019-01-28","18:22:21","20:59:55",9454
6,"2019-01-29","13:51:58","16:50:35",10717
6,"2019-01-30",NA,NA,0
6,"2019-01-31",NA,NA,0
6,"2019-02-01",NA,NA,0
6,"2019-02-02",NA,NA,0
6,"2019-02-03",NA,NA,0
6,"2019-02-26",NA,NA,0
6,"2019-02-27","20:06:34","22:00:00",6806
6,"2019-02-28",NA,NA,0
6,"2019-03-01",NA,NA,0
6,"2019-03-02",NA,NA,0
6,"2019-03-03",NA,NA,0
6,"2019-03-27",NA,NA,0
6,"2019-03-28",NA,NA,0
6,"2019-03-29",NA,NA,0
6,"2019-03-30","18:38:30","21:01:59",8609
6,"2019-03-31","06:00:00","11:42:52",20572
6,"2019-03-31","17:05:38","21:01:18",14140
6,"2019-04-01",NA,NA,0
6,"2019-04-02",NA,NA,0
6,"2019-04-26","20:12:54","22:00:00",6426
6,"2019-04-27","10:53:30","22:00:00",39990
6,"2019-04-28","06:00:00","22:00:00",57600
6,"2019-04-29","18:58:57","22:00:00",10863
6,"2019-04-30","18:52:03","22:00:00",11277
6,"2019-05-01","06:00:00","22:00:00",57600
6,"2019-05-02","06:00:00","22:00:00",57600
6,"2019-05-03","06:00:00","22:00:00",57600
6,"2019-05-04","06:00:00","19:33:17",48797
6,"2019-05-05",NA,NA,0
6,"2019-05-27","17:07:11","17:15:08",477
6,"2019-05-27","20:15:45","22:00:00",6255
6,"2019-05-28","06:00:00","22:00:00",57600
6,"2019-05-29","06:00:00","19:25:25",48325
6,"2019-05-29","21:57:48","22:00:00",132
6,"2019-05-30","12:54:50","22:00:00",32710
6,"2019-05-31","14:53:59","22:00:00",25561
6,"2019-06-01","06:00:00","22:00:00",57600
6,"2019-06-02","06:00:00","22:00:00",57600
6,"2019-06-03","06:00:00","13:11:06",25866
6,"2019-06-04",NA,NA,0
6,"2019-06-05",NA,NA,0
6,"2019-06-06",NA,NA,0
6,"2019-06-07",NA,NA,0
6,"2019-06-08",NA,NA,0
6,"2019-06-26","15:14:58","15:47:53",1975
6,"2019-06-26","19:41:44","22:00:00",8296
6,"2019-06-27","06:00:00","16:41:20",38480
6,"2019-06-27","16:48:08","22:00:00",18712
6,"2019-06-28","17:13:06","22:00:00",17214
6,"2019-06-29","18:32:59","22:00:00",12421
6,"2019-06-30","06:00:00","14:22:45",30165
6,"2019-06-30","18:33:07","22:00:00",12413
6,"2019-07-01","06:00:00","16:05:11",36311
6,"2019-07-02",NA,NA,0
6,"2019-07-03",NA,NA,0
6,"2019-07-04",NA,NA,0
6,"2019-07-27","09:55:47","10:10:13",866
6,"2019-07-27","20:51:37","22:00:00",4103
6,"2019-07-28","17:02:55","22:00:00",17825
